battleLabel,date,locationLabel,lat,lon,sultan,sultan_wikidata,part_ofLabel,wikidata_url
"Fall of Gallipoli","1354-03-01","Gelibolu","40.4139","26.6703","Orhan","Q179282","Byzantine–Ottoman wars","http://www.wikidata.org/entity/Q916266"
"Battle of Sapienza","1354-11-12","Sapientza","36.7717","21.7050","Orhan","Q179282","Venetian–Genoese Wars","http://www.wikidata.org/entity/Q2889681"
"Battle of Ihtiman","1355-01-01","Ihtiman","42.4400","23.8150","Orhan","Q179282","Bulgarian–Ottoman Wars","http://www.wikidata.org/entity/Q283984"
"Battle of Adrianópolis","1355-01-01","Edirne","41.6730","26.5736","Orhan","Q179282","","http://www.wikidata.org/entity/Q25433631"
"Naval Battle of Ognina","1356-01-01","Acireale","37.6125","15.1656","Orhan","Q179282","","http://www.wikidata.org/entity/Q3951347"
"Battle of Achelous","1359-01-01","Achelous River","38.3350","21.1042","Orhan","Q179282","Albanian-Epirote War of 1359","http://www.wikidata.org/entity/Q4870212"
"Battle of Achelous","1359-01-01","Achelous River","39.6768","21.1656","Orhan","Q179282","Albanian-Epirote War of 1359","http://www.wikidata.org/entity/Q4870212"
"Battle of Megara","1359-01-01","Megara Gulf","37.9500","23.3333","Orhan","Q179282","Crusades after Acre of 1291–1399","http://www.wikidata.org/entity/Q28554166"
"Battle of Sırp Sındığı","1364-01-01","Maritsa","42.1648","23.5959","Murad Iᵉʳ","Q170056","Ottoman Wars in Europe","http://www.wikidata.org/entity/Q4844238"
"Battle of Sırp Sındığı","1364-01-01","Maritsa","40.7381","26.0306","Murad Iᵉʳ","Q170056","Ottoman Wars in Europe","http://www.wikidata.org/entity/Q4844238"
"Reconquest of Gallipoli","1366-01-01","Gallipoli","40.3500","26.4500","Murad Iᵉʳ","Q170056","Byzantine–Ottoman wars","http://www.wikidata.org/entity/Q516507"
"Battle of Kosovo","1369-01-01","Zvečan","42.9100","20.8400","Murad Iᵉʳ","Q170056","Fall of the Serbian Empire","http://www.wikidata.org/entity/Q4871483"
"Battle of Maritsa","1371-09-26","Ormenio","41.7202","26.2127","Murad Iᵉʳ","Q170056","Serbian–Ottoman Wars","http://www.wikidata.org/entity/Q939570"
"Battle of Gardiki","1375-01-01","Gardiki Castle, Arcadia","37.2629","22.0584","Murad Iᵉʳ","Q170056","Byzantine–Latin wars","http://www.wikidata.org/entity/Q30622039"
"Battle of Pula","1379-05-15","Adriatic Sea","42.7758","15.4261","Murad Iᵉʳ","Q170056","War of Chioggia","http://www.wikidata.org/entity/Q11688129"
