battleLabel,date,date_precision,locationLabel,lat,lon,sultan,sultan_wikidata,part_ofLabel,wikidata_url
Fall of Gallipoli,1354-03-01,month,Gelibolu,40.4139,26.6703,Orhan,Q179282,Byzantine–Ottoman Wars,http://www.wikidata.org/entity/Q916266
Battle of Ihtiman,1355-01-01,year,Ihtiman,42.4400,23.8150,Orhan,Q179282,Bulgarian–Ottoman Wars,http://www.wikidata.org/entity/Q283984
Battle of Adrianópolis,1355-01-01,year,Edirne,41.6730,26.5736,Orhan,Q179282,,http://www.wikidata.org/entity/Q25433631
Naval Battle of Ognina,1356-01-01,year,Acireale,37.6125,15.1656,Orhan,Q179282,,http://www.wikidata.org/entity/Q3951347
Battle of Achelous,1359-01-01,year,Achelous River,38.3350,21.1042,Orhan,Q179282,Albanian-Epirote War of 1359,http://www.wikidata.org/entity/Q4870212
Battle of Megara,1359-01-01,year,Megara Gulf,37.9500,23.3333,Orhan,Q179282,Crusades after Acre of 1291–1399,http://www.wikidata.org/entity/Q28554166
Battle of Sırp Sındığı,1364-01-01,year,Maritsa,42.1648,23.5959,Murad Iᵉʳ,Q170056,Ottoman Wars in Europe,http://www.wikidata.org/entity/Q4844238
Reconquest of Gallipoli,1366-01-01,year,Gallipoli,40.3500,26.4500,Murad Iᵉʳ,Q170056,Byzantine–Ottoman Wars,http://www.wikidata.org/entity/Q516507
Battle of Kosovo,1369-01-01,year,Zvečan,42.9100,20.8400,Murad Iᵉʳ,Q170056,Fall of the Serbian Empire,http://www.wikidata.org/entity/Q4871483
Battle of Maritsa,1371-09-26,day,Ormenio,41.7202,26.2127,Murad Iᵉʳ,Q170056,Serbian–Ottoman Wars,http://www.wikidata.org/entity/Q939570
Battle of Gardiki,1375-01-01,year,"Gardiki Castle, Arcadia",37.2629,22.0584,Murad Iᵉʳ,Q170056,Byzantine–Latin wars,http://www.wikidata.org/entity/Q30622039
Battle of Pločnik,1385-01-01,year,Pločnik,43.1978,21.3567,Murad Iᵉʳ,Q170056,Ottoman Wars in Europe,http://www.wikidata.org/entity/Q612288
Battle of Savra,1385-09-26,day,Lushnjë,40.9333,19.7000,Murad Iᵉʳ,Q170056,Ottoman Wars in Europe,http://www.wikidata.org/entity/Q2603935
Battle of Bileća,1388-09-03,day,Bileća,42.8667,18.4333,Murad Iᵉʳ,Q170056,Ottoman conquest of Bosnia and Herzegovina,http://www.wikidata.org/entity/Q700874
Battle of Kosovo,1389-07-06,day,Kosovo Field,42.7175,21.0850,Bayezid Iᵉʳ,Q170058,Ottoman Wars in Europe,http://www.wikidata.org/entity/Q179288
Battle of Ascoli,1392-04-18,day,Ascoli Piceno,42.8547,13.5753,Bayezid Iᵉʳ,Q170058,,http://www.wikidata.org/entity/Q20875410
Battle of Argeș,1394-10-10,day,Argeș River,45.3647,24.6304,Bayezid Iᵉʳ,Q170058,,http://www.wikidata.org/entity/Q4871384
Battle of Nicopolis,1396-09-25,day,Nikopol,43.6986,24.8924,Bayezid Iᵉʳ,Q170058,Ottoman Wars in Europe,http://www.wikidata.org/entity/Q212220
Battle of Akçay,1398-01-01,year,Akçay,39.5858,26.9239,Bayezid Iᵉʳ,Q170058,Ottoman Wars in Asia,http://www.wikidata.org/entity/Q115177789
Battle of Tripolje,1402-11-30,day,Gračanica monastery,42.5983,21.1933,Interrègne,,Ottoman Wars in Europe,http://www.wikidata.org/entity/Q3395349
Battle of Kosmidion,1410-06-24,day,Eyüp,41.0800,28.9378,Interrègne,,Ottoman Interregnum,http://www.wikidata.org/entity/Q4871484
